"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 09, 2015","3,546.72","3,547.57","3,689.75","3,536.39","349.98K","-0.35%"
"Jan 08, 2015","3,559.26","3,650.07","3,659.95","3,552.10","295.00K","-2.32%"
"Jan 07, 2015","3,643.79","3,620.92","3,671.19","3,601.70","320.19K","0.07%"
"Jan 06, 2015","3,641.06","3,608.43","3,683.23","3,587.23","420.96K","-0.01%"
"Jan 05, 2015","3,641.54","3,566.09","3,669.04","3,551.51","451.20K","3.05%"
"Dec 31, 2014","3,533.70","3,462.39","3,542.34","3,452.50","345.94K","2.20%"
"Dec 30, 2014","3,457.55","3,450.81","3,491.83","3,422.17","328.23K","0.06%"
"Dec 29, 2014","3,455.45","3,502.18","3,524.28","3,405.84","425.02K","0.28%"
"Dec 26, 2014","3,445.84","3,343.64","3,453.34","3,335.01","384.61K","3.31%"
"Dec 25, 2014","3,335.42","3,254.48","3,335.78","3,226.32","309.80K","3.25%"
"Dec 24, 2014","3,230.39","3,332.15","3,340.36","3,188.49","317.45K","-2.84%"
"Dec 23, 2014","3,324.92","3,358.80","3,431.78","3,316.91","369.74K","-2.05%"
"Dec 22, 2014","3,394.48","3,396.25","3,455.21","3,357.66","549.80K","0.33%"
"Dec 19, 2014","3,383.17","3,345.63","3,397.18","3,280.92","411.21K","1.11%"
"Dec 18, 2014","3,345.93","3,359.09","3,393.71","3,322.23","355.97K","-0.44%"
"Dec 17, 2014","3,360.60","3,325.82","3,368.19","3,275.74","448.14K","1.73%"
"Dec 16, 2014","3,303.40","3,221.36","3,303.40","3,207.69","358.12K","2.68%"
"Dec 15, 2014","3,217.23","3,176.83","3,226.22","3,143.30","290.19K","0.75%"
"Dec 12, 2014","3,193.23","3,182.92","3,239.45","3,167.93","301.07K","0.32%"
"Dec 11, 2014","3,183.01","3,185.16","3,254.42","3,158.44","367.09K","-1.20%"
"Dec 10, 2014","3,221.55","3,120.21","3,229.05","3,058.19","425.02K","3.69%"
"Dec 09, 2014","3,106.91","3,233.10","3,387.83","3,074.52","632.88K","-4.49%"
"Dec 08, 2014","3,252.88","3,108.27","3,270.88","3,075.70","484.46K","4.10%"
"Dec 05, 2014","3,124.89","3,143.97","3,195.80","3,011.94","524.88K","0.66%"
"Dec 04, 2014","3,104.35","2,975.40","3,104.89","2,968.88","426.81K","4.61%"
"Dec 03, 2014","2,967.55","2,936.12","3,028.22","2,912.25","466.16K","1.49%"
"Dec 02, 2014","2,923.94","2,807.34","2,944.51","2,804.29","361.47K","3.69%"
"Dec 01, 2014","2,819.81","2,825.61","2,855.33","2,808.65","365.49K","0.39%"
"Nov 28, 2014","2,808.82","2,753.93","2,809.54","2,740.37","375.32K","1.97%"
"Nov 27, 2014","2,754.49","2,737.03","2,754.49","2,718.70","265.47K","1.16%"
"Nov 26, 2014","2,723.02","2,695.26","2,723.36","2,690.31","243.96K","1.39%"
"Nov 25, 2014","2,685.56","2,650.09","2,686.06","2,643.84","222.61K","1.37%"
"Nov 24, 2014","2,649.26","2,614.16","2,667.67","2,602.94","279.84K","2.55%"
"Nov 21, 2014","2,583.45","2,537.54","2,585.36","2,530.03","151.03K","1.83%"
"Nov 20, 2014","2,537.10","2,528.78","2,545.47","2,522.84","106.15K","-0.00%"
"Nov 19, 2014","2,537.22","2,538.23","2,550.50","2,531.32","122.15K","-0.17%"
"Nov 18, 2014","2,541.42","2,565.27","2,570.21","2,534.93","142.94K","-1.00%"
"Nov 17, 2014","2,567.10","2,613.51","2,614.09","2,565.94","158.48K","-0.54%"
"Nov 14, 2014","2,581.09","2,569.21","2,581.93","2,557.67","165.05K","0.05%"
"Nov 13, 2014","2,579.75","2,597.39","2,607.52","2,567.46","219.82K","-0.56%"
"Nov 12, 2014","2,594.32","2,545.40","2,594.32","2,539.60","184.69K","1.40%"
"Nov 11, 2014","2,558.61","2,578.44","2,602.37","2,532.57","323.71K","-0.28%"
"Nov 10, 2014","2,565.73","2,529.83","2,565.73","2,514.71","226.60K","2.54%"
"Nov 07, 2014","2,502.15","2,508.76","2,541.55","2,489.42","208.76K","-0.16%"
"Nov 06, 2014","2,506.07","2,505.17","2,510.99","2,482.98","149.65K","0.10%"
"Nov 05, 2014","2,503.45","2,516.87","2,519.40","2,499.23","190.49K","-0.39%"
"Nov 04, 2014","2,513.17","2,511.04","2,517.46","2,498.61","218.25K","0.02%"
